               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.031117,            0.037186,           0.0094457,             0.98332,             0.99003,             0.98769,             0.71991,            0.023555,            0.014609,           0.0049939,           0.0087378,           0.0087378,           0.0087378
                  53,            0.031237,            0.038766,           0.0093471,             0.98162,             0.99301,             0.98453,             0.73817,            0.020694,            0.013894,           0.0051279,            0.008713,            0.008713,            0.008713
                  54,             0.03066,            0.038605,           0.0087456,             0.98522,             0.99136,             0.98614,              0.7483,            0.020758,            0.014168,           0.0046644,           0.0086882,           0.0086882,           0.0086882
                  55,            0.030419,            0.038116,           0.0084244,             0.98184,             0.99301,             0.98517,             0.75696,            0.018932,            0.014114,           0.0043066,           0.0086635,           0.0086635,           0.0086635
                  56,            0.030656,             0.03968,           0.0082257,             0.98565,             0.99251,             0.98662,             0.69149,            0.024471,            0.014843,           0.0041916,           0.0086388,           0.0086388,           0.0086388
                  57,            0.029918,            0.038494,           0.0086235,             0.98598,             0.99037,             0.98716,             0.74015,            0.020967,            0.014044,           0.0043791,            0.008614,            0.008614,            0.008614
                  58,            0.030302,            0.038529,           0.0081999,             0.98058,              0.9913,             0.98731,             0.74487,            0.021351,            0.013936,           0.0043624,           0.0085893,           0.0085893,           0.0085893
                  59,            0.029524,            0.037257,           0.0080719,             0.98554,             0.99201,              0.9889,             0.72972,            0.022488,            0.015501,           0.0043014,           0.0085645,           0.0085645,           0.0085645
                  60,            0.029351,            0.035748,           0.0080076,             0.97361,             0.99301,             0.98805,             0.72741,            0.021219,            0.014372,           0.0046339,           0.0085398,           0.0085398,           0.0085398
                  61,            0.029211,            0.039229,           0.0079288,               0.986,             0.99065,             0.98544,             0.75242,            0.022665,            0.013846,           0.0038544,            0.008515,            0.008515,            0.008515
                  62,            0.030141,            0.038281,           0.0078734,             0.97922,             0.98875,             0.98436,              0.7337,            0.021726,            0.013965,            0.003885,           0.0084903,           0.0084903,           0.0084903
                  63,            0.028845,            0.037788,           0.0077569,             0.98525,             0.99297,             0.98812,             0.74181,            0.021569,            0.013942,           0.0038897,           0.0084655,           0.0084655,           0.0084655
                  64,             0.02902,            0.036956,           0.0077647,             0.98516,             0.99001,             0.98878,             0.74834,            0.020497,            0.013798,           0.0040178,           0.0084408,           0.0084408,           0.0084408
                  65,             0.02899,            0.038637,           0.0078026,             0.97595,             0.98471,             0.98441,             0.75696,            0.019821,            0.013474,           0.0047754,            0.008416,            0.008416,            0.008416
                  66,            0.029337,            0.037101,           0.0080168,             0.98626,             0.98956,             0.98669,              0.7672,            0.018832,            0.013421,           0.0041871,           0.0083913,           0.0083913,           0.0083913
                  67,            0.028784,            0.037855,           0.0075078,             0.98382,             0.98708,             0.98645,             0.75542,            0.020243,            0.013739,             0.00401,           0.0083665,           0.0083665,           0.0083665
                  68,            0.029519,            0.035251,           0.0072653,             0.98387,             0.98942,             0.98512,             0.75119,             0.02003,            0.013683,           0.0042363,           0.0083418,           0.0083418,           0.0083418
                  69,            0.028905,            0.036975,           0.0075735,              0.9817,             0.99017,             0.98603,              0.7665,            0.019531,             0.01387,           0.0039104,            0.008317,            0.008317,            0.008317
                  70,            0.028678,            0.036959,            0.007466,             0.98406,             0.99196,             0.98681,             0.74825,            0.020047,            0.013895,           0.0036706,           0.0082922,           0.0082922,           0.0082922
                  71,            0.028887,            0.038261,             0.00736,             0.98348,             0.98943,             0.98475,             0.76744,             0.01844,            0.013527,           0.0036454,           0.0082675,           0.0082675,           0.0082675
                  72,            0.028876,            0.037861,           0.0072861,             0.98645,             0.99143,             0.98521,             0.76694,            0.019036,            0.013647,           0.0035993,           0.0082428,           0.0082428,           0.0082428
                  73,            0.028212,            0.037683,            0.007035,             0.98454,             0.98552,             0.98758,             0.76831,            0.019275,             0.01361,           0.0036621,            0.008218,            0.008218,            0.008218
                  74,            0.027721,               0.037,           0.0076582,             0.97683,             0.98111,             0.98607,             0.73938,            0.020213,            0.013578,           0.0042228,           0.0081932,           0.0081932,           0.0081932
                  75,            0.027192,            0.037448,           0.0080804,             0.97539,             0.98694,             0.98701,             0.74835,            0.020497,            0.014136,           0.0042609,           0.0081685,           0.0081685,           0.0081685
                  76,            0.028127,            0.038109,           0.0073348,             0.98424,              0.9852,             0.98716,             0.72887,            0.021445,            0.013899,           0.0034391,           0.0081437,           0.0081437,           0.0081437
                  77,            0.026913,            0.037169,           0.0074595,             0.97876,             0.98875,              0.9869,             0.76528,            0.018956,            0.013587,           0.0038015,            0.008119,            0.008119,            0.008119
                  78,            0.028465,            0.037476,            0.007372,             0.98524,             0.98711,             0.98693,             0.74658,            0.019769,            0.013514,           0.0035049,           0.0080942,           0.0080942,           0.0080942
                  79,             0.02743,            0.039572,           0.0073387,              0.9779,              0.9849,             0.98497,              0.7703,            0.020564,            0.013566,           0.0039314,           0.0080695,           0.0080695,           0.0080695
                  80,            0.028495,            0.036164,           0.0072479,             0.97956,              0.9846,             0.98713,             0.78417,            0.017665,            0.013409,           0.0039995,           0.0080447,           0.0080447,           0.0080447
                  81,            0.027397,            0.036383,           0.0063646,              0.9827,             0.98583,             0.98731,             0.76813,            0.019768,             0.01375,           0.0034471,             0.00802,             0.00802,             0.00802
                  82,            0.027907,            0.036511,           0.0067585,               0.979,             0.98477,             0.98576,             0.77254,            0.018933,            0.013301,            0.003681,           0.0079953,           0.0079953,           0.0079953
                  83,            0.026739,            0.037893,           0.0068376,             0.97917,             0.99046,             0.98525,             0.77102,            0.019106,            0.013635,           0.0036041,           0.0079705,           0.0079705,           0.0079705
                  84,            0.027342,            0.034408,            0.006907,             0.97927,              0.9881,              0.9856,             0.74395,            0.020502,             0.01393,           0.0034452,           0.0079457,           0.0079457,           0.0079457
                  85,             0.02665,             0.03605,           0.0070398,             0.97517,             0.98828,             0.98441,             0.78554,            0.017689,            0.013122,           0.0038671,            0.007921,            0.007921,            0.007921
                  86,            0.027258,            0.035928,           0.0066361,             0.95106,             0.98874,             0.98541,             0.77428,            0.020498,            0.013297,           0.0038725,           0.0078963,           0.0078963,           0.0078963
                  87,            0.027708,            0.036182,           0.0065915,             0.97224,             0.97813,             0.98319,               0.766,             0.01885,             0.01347,           0.0045081,           0.0078715,           0.0078715,           0.0078715
                  88,            0.027511,            0.035174,           0.0062305,             0.97662,             0.98006,             0.98521,              0.7555,            0.019584,            0.013593,           0.0036056,           0.0078467,           0.0078467,           0.0078467
                  89,            0.026879,            0.034615,           0.0065448,              0.9743,             0.98625,             0.98569,             0.78216,            0.018559,            0.013327,           0.0035166,            0.007822,            0.007822,            0.007822
                  90,            0.026762,            0.036503,           0.0066292,             0.97537,             0.98187,             0.98417,             0.76108,            0.020491,            0.013572,           0.0034648,           0.0077973,           0.0077973,           0.0077973
                  91,            0.026133,            0.035243,            0.006505,             0.98624,             0.99267,             0.98648,             0.79106,            0.017747,            0.013074,           0.0030866,           0.0077725,           0.0077725,           0.0077725
                  92,            0.026968,            0.034936,           0.0062342,             0.98725,             0.99301,             0.98571,             0.76064,            0.020396,            0.013482,           0.0030945,           0.0077478,           0.0077478,           0.0077478
                  93,            0.026606,            0.035275,           0.0065306,             0.98687,             0.99301,             0.98573,             0.77283,            0.017751,            0.013183,           0.0029656,            0.007723,            0.007723,            0.007723
